Année;Groupe;Type;Durée;Matière;Contenu;Enseignant;Type ens;Salle INFO;Evaluation;Charge;Date affectée;Créneau;Salles;ID
BUT3;VCOD;TD;1;R6.01;;SP;T;Vrai;Faux;Faux;24/01/2024;PM-4a;C202;2§3.74
BUT3;EMS;TP;2;R6.01;hadoop, comment se connecter à un serveur (mesurer les jobs);SP;T;Vrai;Faux;Faux;22/01/2024;PM-1a;C204;2§3.56
BUT3;VCOD;TP;2;R6.01;;SP;T;Vrai;Faux;Faux;24/01/2024;PM-2a;C202;2§3.75
BUT3;EMS;TP;2;R6.01;hadoop, comment se connecter à un serveur (mesurer les jobs);SP;T;Vrai;Faux;Faux;26/01/2024;PM-3a;A119;2§3.57
BUT3;VCOD;TP;2;R6.01;;SP;T;Vrai;Faux;Faux;22/01/2024;AM-1a;C202;2§3.76
BUT3;EMS;TP;2;R6.01;hadoop, comment se connecter à un serveur (mesurer les jobs);SP;T;Vrai;Faux;Faux;22/01/2024;AM-3a;A109;2§3.58
BUT3;EMS;TD;2;R6.03;;EA;V;Faux;Faux;Faux;22/01/2024;AM-1a;A118;2§3.59
BUT3;VCOD;TD;2;R6.03;;EA;V;Faux;Faux;Faux;22/01/2024;AM-3a;C202;2§3.77
BUT3;EMS;CM;1;R6.EMS.5;ML sur du texte;MK;T;Vrai;Faux;Faux;24/01/2024;AM-1a;C204;2§3.60
BUT3;EMS;TD;2;R6.EMS.5;ML sur du texte;MK;T;Vrai;Faux;Faux;23/01/2024;AM-3a;A109;2§3.61
BUT3;EMS;TP;1;R6.EMS.5;ML sur du texte;MK;T;Vrai;Faux;Faux;24/01/2024;AM-4a;C202;2§3.62
BUT3;EMS;TD;2;R6.EMS.6;qualité;FB;V;Faux;Vrai;Faux;24/01/2024;PM-3a;A110;2§3.63
BUT3;EMS;TD;2;R6.EMS.6;qualité;FB;V;Faux;Vrai;Faux;24/01/2024;PM-1a;A110;2§3.64
BUT3;EMS;TD;2;SAE6-EMS.1;etude de cas 1 ML;MK;T;Vrai;Faux;Faux;24/01/2024;AM-2a;A109;2§3.65
BUT3;EMS;auto;2;SAE6-EMS.1;etude de cas 1 ML;MK;T;Vrai;Faux;Faux;23/01/2024;PM-1a;A110;2§3.66
BUT3;EMS;auto;2;SAE6-EMS.1;etude de cas 1 ML;MK;T;Vrai;Faux;Faux;25/01/2024;PM-1a;A110;2§3.67
BUT3;EMS;auto;2;SAE6-EMS.1;etude de cas 1 ML;MK;T;Vrai;Faux;Faux;23/01/2024;AM-1a;C202;2§3.68
BUT3;EMS;TP;2;SAE6-EMS.1;etude de cas 2 sur les avions ou borne éléctrique...;SVP;T;Vrai;Faux;Faux;26/01/2024;PM-1a;A110;2§3.69
BUT3;EMS;auto;2;SAE6-EMS.1;etude de cas 2 sur les avions ou borne éléctrique...;SVP;T;Vrai;Faux;Faux;26/01/2024;AM-2a;A118;2§3.71
BUT3;EMS;encad;2;SAE6-EMS.1;etude de cas 2 sur les avions ou borne éléctrique...;SVP;T;Vrai;Faux;Faux;25/01/2024;PM-3a;A118;2§3.72
BUT3;VCOD;TD;2;R6.VCOD.5;flux de données, temps réel;FD;V;Vrai;Faux;Faux;22/01/2024;PM-1a;A119;2§3.78
BUT3;VCOD;TD;2;R6.VCOD.5;flux de données, temps réel;FD;V;Vrai;Faux;Faux;26/01/2024;PM-3a;C204;2§3.79
BUT3;VCOD;TP;2;R6.VCOD.5;flux de données, temps réel;FD;V;Vrai;Faux;Faux;26/01/2024;AM-3a;C202;2§3.80
BUT3;VCOD;TP;2;R6.VCOD.5;flux de données, temps réel;FD;V;Vrai;Faux;Faux;22/01/2024;PM-3a;A109;2§3.81
BUT3;VCOD;TP;2;R6.VCOD.5;FME et applications serveurs et flux de données;LP;V;Vrai;Vrai;Faux;26/01/2024;AM-1a;C202;2§3.82
BUT3;VCOD;CM;2;R6.VCOD.6;QGIS;AC;V;Faux;Faux;Faux;23/01/2024;PM-3a;C202;2§3.83
BUT3;VCOD;CM;2;R6.VCOD.6;QGIS;AC;V;Faux;Faux;Faux;23/01/2024;PM-1a;A119;2§3.84
