Année;Groupe;Type;Durée;Matière;Contenu;Enseignant;Type ens;Salle INFO;Evaluation;Charge;Date affectée;Créneau;Salles;ID
BUT3;EMS;CM;2;R6.EMS.5;ML sur du texte;MK;T;Vrai;Faux;Faux;25/01/2024;AM-1a;;2§2.59
BUT3;EMS;TD;2;R6.EMS.6;qualité;FB;V;Faux;Faux;Faux;24/01/2024;PM-7a;;2§2.60
BUT3;EMS;TD;2;R6.EMS.6;qualité;FB;V;Faux;Faux;Faux;24/01/2024;AM-1a;;2§2.61
BUT3;EMS;TD;2;R6.EMS.6;qualité;FB;V;Faux;Faux;Faux;24/01/2024;PM-5a;;2§2.62
BUT3;EMS;TD;2;R6.EMS.6;qualité;FB;V;Faux;Faux;Faux;24/01/2024;AM-3a;;2§2.63
BUT3;EMS;TD;2;R6.EMS.6;qualité;FB;V;Faux;Faux;Faux;23/01/2024;AM-1a;;2§2.64
BUT3;EMS;TD;2;R6.EMS.6;qualité;FB;V;Faux;Faux;Faux;23/01/2024;PM-7a;;2§2.65
BUT3;EMS;TD;2;R6.EMS.6;qualité;FB;V;Faux;Faux;Faux;22/01/2024;PM-5a;;2§2.66
BUT3;EMS;TD;2;R6.EMS.6;qualité;FB;V;Faux;Faux;Faux;22/01/2024;AM-3a;;2§2.67
BUT3;EMS;encad;2;SAE6-EMS.1;etude de cas 1 ML;MK;T;Vrai;Faux;Faux;23/01/2024;AM-3a;;2§2.69
BUT3;EMS;TD;2;SAE6-EMS.1;etude de cas 2 sur les avions ou borne éléctrique...;SVP;T;Vrai;Faux;Faux;25/01/2024;AM-3a;;2§2.70
BUT3;EMS;TP;2;SAE6-EMS.1;etude de cas 2 sur les avions ou borne éléctrique...;SVP;T;Vrai;Faux;Faux;25/01/2024;PM-5a;;2§2.71
BUT3;EMS;auto;2;SAE6-EMS.1;etude de cas 2 sur les avions ou borne éléctrique...;SVP;T;Vrai;Faux;Faux;26/01/2024;AM-1a;;2§2.73
BUT3;EMS;encad;2;SAE6-EMS.1;etude de cas 2 sur les avions ou borne éléctrique...;SVP;T;Vrai;Faux;Faux;25/01/2024;PM-7a;;2§2.74
BUT3;VCOD;TD;2;R6.VCOD.5;FME et applications serveurs et flux de données;LP;V;Vrai;Faux;Faux;24/01/2024;PM-7a;;2§2.76
BUT3;VCOD;TD;2;R6.VCOD.5;FME et applications serveurs et flux de données;LP;V;Vrai;Faux;Faux;24/01/2024;AM-3a;;2§2.77
BUT3;VCOD;TP;2;R6.VCOD.5;FME et applications serveurs et flux de données;LP;V;Vrai;Faux;Faux;24/01/2024;AM-1a;;2§2.78
BUT3;VCOD;TP;2;R6.VCOD.5;FME et applications serveurs et flux de données;LP;V;Vrai;Faux;Faux;24/01/2024;PM-5a;;2§2.79
BUT3;VCOD;TP;2;SAE6-VCOD.1;suite projet LP avec hébergement sur serveur de l'UPVD;PDS;T;Vrai;Faux;Faux;22/01/2024;PM-7a;;2§2.80
BUT3;VCOD;encad;2;SAE6-VCOD.1;suite projet LP avec hébergement sur serveur de l'UPVD;PDS;T;Vrai;Faux;Faux;22/01/2024;AM-1a;;2§2.82
BUT3;VCOD;TD;2;SAE6-VCOD.1;suite projet LP avec hébergement sur serveur de l'UPVD;IU;T;Vrai;Faux;Faux;23/01/2024;PM-7a;;2§2.83
BUT3;VCOD;encad;2;SAE6-VCOD.1;suite projet LP avec hébergement sur serveur de l'UPVD;IU;T;Faux;Faux;Faux;23/01/2024;AM-3a;;2§2.85
FIN;;;;;;;;;;;;;;
